source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-26 12:36:12,"It is not just the Covid-19 crisis that must be managed, but also what comes after, which could be a different type of crisis, says associate editor Vikram Khanna.",159,138,10,,2,5,1,,10157157028557115,/story.php?story_fbid=10157157028557115&id=129011692114
The Straits Times,,2020-06-26 12:30:42,"SPONSORED: Huawei recently launched a slew of mobile devices in Singapore. Explore the latest features of some products such as the P40 Pro+ smartphone, MateBook 13 ultra-portable laptop and MatePad Pro tablet.",53,40,4,1,,,8,,10157156963227115,/story.php?story_fbid=10157156963227115&id=129011692114
The Straits Times,,2020-06-26 12:15:33,"The Singaporean man is also accused of insulting the modesty of 2 women, including a relative, away from the school.",187,76,9,2,18,5,77,,10157157001332115,/story.php?story_fbid=10157157001332115&id=129011692114
The Straits Times,,2020-06-26 11:50:27,Experts say the prevalence among young people may be partly due to more widely available testing.,76,58,2,,3,13,,,10157156967722115,/story.php?story_fbid=10157156967722115&id=129011692114
The Straits Times,,2020-06-26 11:30:42,"""Mr Goh is a sentimental person. Instead of demolishing the old flats, he upgraded them,"" said a Marine Parade resident of more than 30 years.",478,376,45,42,1,2,3,,10157156943447115,/story.php?story_fbid=10157156943447115&id=129011692114
The Straits Times,,2020-06-26 11:11:09,Victoria has now had 10 consecutive days of double-digit increases.,196,144,5,1,15,30,,,10157156891002115,/story.php?story_fbid=10157156891002115&id=129011692114
The Straits Times,,2020-06-26 10:51:02,"UPDATE: PAP unveils its final batch of candidates, bringing 27 candidates in to contest this election.  Follow full #GE2020 coverage here: https://str.sg/JW74",309,231,17,19,4,2,36,,10157156852347115,/story.php?story_fbid=10157156852347115&id=129011692114
The Straits Times,,2020-06-26 10:25:18,The Workers' Party announced that both Mr Chen and Mr Png will not be standing as candidates in the general election. Here's a look back at their political careers.,215,184,12,2,2,4,,,10157156802952115,/story.php?story_fbid=10157156802952115&id=129011692114
The Straits Times,,2020-06-26 10:02:21,"Singapore's newest political party introduced the last member of its team, Theatre director Alec Tok Kim Yam, to contest the 5-member Jurong GRC.",340,254,68,5,9,,2,,10157156750302115,/story.php?story_fbid=10157156750302115&id=129011692114
The Straits Times,,2020-06-26 09:40:54,"Germany reported a spike of more than 1,500 coronavirus infections, with new clusters confirmed in areas such as slaughterhouses and crowded, low-income apartment blocks.",163,110,1,,24,27,1,,10157156720942115,/story.php?story_fbid=10157156720942115&id=129011692114
The Straits Times,,2020-06-26 09:20:21,"Patients suffering from severe cases of Covid-19 could experience complications such as stroke, inflammation, psychosis and dementia-like symptoms.",408,237,1,1,59,108,,,10157156685762115,/story.php?story_fbid=10157156685762115&id=129011692114
The Straits Times,,2020-06-26 09:00:32,"A fan said he had not seen Liverpool lift the Premier League trophy for even once in his lifetime, and exclaimed: “Finally, it happened.”",1.1K,947,93,87,8,,7,,10157156646622115,/story.php?story_fbid=10157156646622115&id=129011692114
